;TK-50/III;TARCICA KLON;III;2,5-3;50;-;-;-;1;-;-;-;-;1 350,00 zｳ
;TCZ-28/E;TARCICA CZERE君IA;Extra;2,5-3;28;-;-;-;1;-;-;-;-;3 650,00 zｳ
;TCZ-28/I;TARCICA CZERE君IA;I;2,5-3;28;-;-;-;1;-;-;-;-;2 950,00 zｳ
;TCZ-28/II;TARCICA CZERE君IA;II;2,5-3;28;-;-;-;1;-;-;-;-;2 150,00 zｳ
;TCZ-28/III;TARCICA CZERE君IA;III;2,5-3;28;-;-;-;1;-;-;-;-;1 350,00 zｳ
;TCZ-38/E;TARCICA CZERE君IA;Extra;2,5-3;38;-;-;-;1;-;-;-;-;3 650,00 zｳ
;TCZ-38/I;TARCICA CZERE君IA;I;2,5-3;38;-;-;-;1;-;-;-;-;3 950,00 zｳ
;TCZ-38/II;TARCICA CZERE君IA;II;2,5-3;38;-;-;-;1;-;-;-;-;2 150,00 zｳ
;TCZ-38/III;TARCICA CZERE君IA;III;2,5-3;38;-;-;-;1;-;-;-;-;1 350,00 zｳ
;TA-28/I;TARCICA AKACJA PARZONA;I;2-3,5;28;-;-;-;1;-;-;-;-;2 350,00 zｳ
;TA-28/II;TARCICA AKACJA PARZONA;II;2-3,5;28;-;-;-;1;-;-;-;-;1 850,00 zｳ
;TA-28/III;TARCICA AKACJA PARZONA;III;2-3,5;28;-;-;-;1;-;-;-;-;1 250,00 zｳ
;TA-50/I;TARCICA AKACJA PARZONA;I;2,5-3;50;-;-;-;1;-;-;-;-;2 350,00 zｳ
;TA-50/II;TARCICA AKACJA PARZONA;II;2,5-3;50;-;-;-;1;-;-;-;-;1 850,00 zｳ
;TA-50/III;TARCICA AKACJA PARZONA;III;2,5-3;50;-;-;-;1;-;-;-;-;1 250,00 zｳ
;;;;;;;;;;;;;;
WIﾊ州A DACHOWA SOSNA;TSN-25;TARCICA NIEIMPREGNOWANA;-;04-lut;25;-;-;-;1;-;-;-;-;550,00 zｳ
;TSI-25;TARCICA IMPREGNOWANA;-;04-lut;25;-;-;-;1;-;-;-;-;600,00 zｳ
;｣S;｣ATA;-;4;40;60;-;-;-;-;1;-;-;1,95 zｳ
;｣S;｣ATA;-;4;40;60;-;-;1;-;-;-;-;815,00 zｳ
;KS;KONTR｣ATA;-;04-lut;25;50;-;-;-;-;1;-;-;1,00 zｳ
;KS;KONTR｣ATA;-;04-lut;25;50;-;-;1;-;-;-;-;800,00 zｳ
;KRSN;KRAWﾊDZIAKI NIEIMPREGNOWANE;-;0-13;-;-;-;-;1;-;-;-;-;780,00 zｳ
